Last updated: 2023-11-10									
Mtg #	Drug Generic Name	Drug Brand Name	Drug Class	FDA-Approved Indications	Pharmacologic Activity	Drug Target	Target Class & Location	Target Normal Role (Physiology)	Mechanism of Action (MOA)
	prednisone	Deltasone; Prednisone Intensol	corticosteroid, systemic	inflammatory disorders [this is sufficient for MFDA; note that there are many indications that may be worth capturing from a drug information resource]	agonist	glucocorticoid receptor	steroid hormone nuclear receptor, widely expressed in a variety of cell types	Normally, cortisol binds to GR, and activation of the steroid hormone nuclear receptor modulates gene expression (via cis-activation and repression). This increases IκB-α expression, which inhibits the master inflammation regulator NFκB and prevents the activation of pro-inflammatory genes. In addition, it increases ipocortin (Annexin 1) expression to inhibit the action of phospholipase A2 and attenuate eicosanoid production.	By acting as agonists of GR, corticosteroids increase IκB-α expression, thereby inhibiting NFκB to prevent the activation of pro-inflammatory genes. The corticosteroid-GR complex also increases ipocortin (Annexin 1) expression to inhibit the action of phospholipase A2 and attenuate eicosanoid production. Together, these physiologic effects attenuate inflammatory processes such as those associated with the acute inflammatory response and auto-immune disorders.
	Week 03								
05	diphenhydramine	Benadryl	antihistamine, first generation [Note that you'll also see "H1R antagonist" or "H1RA" sometimes. For 503, you should use first generation antihistamine.]	histamine-mediated allergy symptoms (nasal allergies and allergic dermatitis), can also be used with epinephrine for treatment of anaphylaxis	reversible orthosteric antagonist	histamine type 1 receptor (H1R)	GPCR expressed on bronchial, GI, and secretory smooth muscle cells, vascular endothelial cells, and neurons (CNS and PNS)	Normally, histamine (HA) is released when mast cells or basophils degranulate in response to allergen. HA binds to H1Rs on the surfaces of vascular ECs, bronchiolar SMCs, and other effector cells. Activation of H1R is signaled via Gaq to increase the intracellular Ca++ concentration. In vascular ECs, that results in cellular contraction and stimulates diffusible production of NO, which stimulates vasodilation. In bronchiolar SMCs, H1R activation results in cellular contraction and bronchoconstrction.	By acting as a reversible, orthosteric antagonist of H1R, antihistamines block activation of H1Rs, reducing bronchoconstriction, vasodilation, vessel permeability, and mucus secretion part of the allergic response
	cetirizine	Zyrtec	antihistamine, second generation [Note that you'll also see "H1R antagonist" or "H1RA" sometimes. For 503, you should use second generation antihistamine.]	histamine-mediated allergy symptoms (nasal allergies and allergic dermatitis)	reversible orthosteric antagonist	H1R	GPCR expressed on bronchial, GI, and secretory smooth muscle cells, vascular endothelial cells, and neurons (CNS and PNS)	Normally, histamine (HA) is released when mast cells or basophils degranulate in response to allergen. HA binds to H1Rs on the surfaces of vascular ECs, bronchiolar SMCs, and other effector cells. Activation of H1R is signaled via Gaq to increase the intracellular Ca++ concentration. In vascular ECs, that results in cellular contraction and stimulates diffusible production of NO, which stimulates vasodilation. In bronchiolar SMCs, H1R activation results in cellular contraction and bronchoconstrction.	By acting as a reversible, orthosteric antagonist of H1R, antihistamines block activation of H1Rs, reducing bronchoconstriction, vasodilation, vessel permeability, and mucus secretion part of the allergic response
	fexofenadine	Allegra	antihistamine, second generation	histamine-mediated allergy symptoms (nasal allergies and allergic dermatitis)	reversible orthosteric antagonist	H1R	GPCR expressed on bronchial, GI, and secretory smooth muscle cells, vascular endothelial cells, and neurons (CNS and PNS)	Normally, histamine (HA) is released when mast cells or basophils degranulate in response to allergen. HA binds to H1Rs on the surfaces of vascular ECs, bronchiolar SMCs, and other effector cells. Activation of H1R is signaled via Gaq to increase the intracellular Ca++ concentration. In vascular ECs, that results in cellular contraction and stimulates diffusible production of NO, which stimulates vasodilation. In bronchiolar SMCs, H1R activation results in cellular contraction and bronchoconstrction.	By acting as a reversible, orthosteric antagonist of H1R, antihistamines block activation of H1Rs, reducing bronchoconstriction, vasodilation, vessel permeability, and mucus secretion part of the allergic response
	loratadine	Claritin	antihistamine, second generation	histamine-mediated allergy symptoms (nasal allergies and allergic dermatitis)	reversible orthosteric antagonist	H1R	GPCR expressed on bronchial, GI, and secretory smooth muscle cells, vascular endothelial cells, and neurons (CNS and PNS)	Normally, histamine (HA) is released when mast cells or basophils degranulate in response to allergen. HA binds to H1Rs on the surfaces of vascular ECs, bronchiolar SMCs, and other effector cells. Activation of H1R is signaled via Gaq to increase the intracellular Ca++ concentration. In vascular ECs, that results in cellular contraction and stimulates diffusible production of NO, which stimulates vasodilation. In bronchiolar SMCs, H1R activation results in cellular contraction and bronchoconstrction.	By acting as a reversible, orthosteric antagonist of H1R, antihistamines block activation of H1Rs, reducing bronchoconstriction, vasodilation, vessel permeability, and mucus secretion part of the allergic response
	montelukast	Singulair	leukotriene receptor antagonist (LTRA)	allergic rhinitis, asthma	reversible orthosteric antagonist	cysteinyl leukotriene receptor 1 (CysLT1R)	GPCR expressed on bronchial and secretory SMCs, and vascular endothelial cells	Normally, CysLT1 receptors are activated by cysteinyl-leukotrienes to cause contraction of SMCs to protect the airways and to increase vascular permeability as part of the acute inflammatory response.	By acting as reversible, orthosteric antagonists of cysteinyl leukotriene type 1 receptors (CysLT1R) located on bronchiolar SMCs and vascular endothelial cells, LTRAs  block CysLT1R, thereby preventing bronchoconstriction and lung tissue edema which contribute to the signs and symptoms of allergic rhinitis.
06	amoxicillin	Moxatag; Amoxil	antibiotic, beta-lactam	bacterial upper respiratory infections  [this is sufficient for MFDA; note that there are many indications that may be worth capturing from a drug information resource]	irreversible competitive inhibitor	transpeptidase [aka penicillin binding protein (PBP)]	transferase enzyme anchored to the plasma membrane of the bacteria	Transpeptidase catalyzes the cross-linking of peptidoglycan precursors in the bacterial cell wall by recognizing the D-Ala-D-Ala moiety in the precursors. This is an important step in ensuring the structure and stability of the bacterial cell wall.	By irreversibly inhibiting transpeptidase, amoxicillin blocks bacterial cell wall biosynthesis by inhibiting the final transpeptidation step of peptidoglycan synthesis. This kills or stops the growth of bacteria that can cause upper respiratory infections.
	amoxicillin + clavulanate	Augmentin							
	piperacillin + tazobactam	Zosyn							
	vancomycin	Vancocin	antibiotic, glycopeptide	bacterial upper respiratory infections  [this is sufficient for MFDA; note that there are many indications that may be worth capturing from a drug information resource]	N/A [this is slightly tricky; because vancomycin binds to an enzyme substrate, not the enzyme itself, it isn't inhibiting the enzyme, but rather preventing it from being able to bind to its usual target]	D-Ala-D-Ala cell wall precursor	[no target class], found in bacterial cell wall	Transpeptidase catalyzes the cross-linking of peptidoglycan precursors in the bacterial cell wall by recognizing the D-Ala-D-Ala moiety in the precursors. This is an important step in ensuring the structure and stability of the bacterial cell wall.	By binding tightly to the D-Ala-D-Ala moiety of the cell wall precursor, vancomycin sequesters the precursor from transpeptidase, thereby blocking bacterial cell wall biosynthesis by inhibiting the final transpeptidation step of peptidoglycan synthesis. This kills or stops the growth of bacteria that can cause upper respiratory infections.
	levofloxacin	Levaquin	antibiotic, respiratory fluoroquinolone	bacterial upper respiratory infections  [this is sufficient for MFDA; note that there are many indications that may be worth capturing from a drug information resource]	reversible inhibitor	DNA topoisomerase type II (Gyrase and Topo IV)	DNA topoisomerase, found in the cytoplasm of the bacterial cell	DNA gyrase relieves the winding strain of DNA allowing for DNA replication. This further ultimately allows for bacterial replication.	By inhibiting DNA gyrase and Topo IV, fluoroquinolones block relaxation of coiled DNA and to help break double stranded DNA, preventing bacterial DNA replication and halting cell division
	azithromycin	Zithromax	antibiotic, macrolide	bacterial upper respiratory infections  [this is sufficient for MFDA; note that there are many indications that may be worth capturing from a drug information resource]	reversible inhibitor	50S ribosomal subunit [near the peptide exit tunnel]	[no target class], found in the cytoplasm of the bacterial cell	The ribosome is required for translation of the genetic code. The two ribosomal subunits assemble, bind to mRNA, and catalyze new peptide bond formation between an amino acid carried by a tRNA and a growing polypeptide chain. These proteins produced are vital for bacterial cell functioning and viability	By binding to the 50S ribosomal subunit near the PTC and peptide exit tunnel, azithromycin inhibits RNA-dependent protein synthesis at the chain elongation step, resulting in blockage of transpeptidation. This prevents bacterial growth and cell division, killing or stopping the growth of bacteria that cause infections
	doxycycline	Vibramycin	antibiotic, tetracycline	bacterial upper respiratory infections  [this is sufficient for MFDA; note that there are many indications that may be worth capturing from a drug information resource]	reversible inhibitor	30S ribosomal subunit [near the P site tRNA anticodon stem loop]	[no target class], found in the cytoplasm of the bacterial cell	The ribosome is required for translation of the genetic code. The two ribosomal subunits assemble, bind to mRNA, and catalyze new peptide bond formation between an amino acid carried by a tRNA and a growing polypeptide chain. These proteins produced are vital for bacterial cell functioning and viability	By binding with the 30S ribosomal subunit near the P-site tRNA anticodon, doxycycline inhibits protein synthesis, thereby blocking bacterial growth and cell division, killing or stopping the growth of bacteria that cause infections
	Week 04								
07	ipratropium	Atrovent HFA	anticholinergic agent [Note that you'll also see "short-acting muscarnic antagonist" or "SAMA" sometimes. For 503, you should use "anticholinergic agent".]	COPD	reversible orthosteric antagonist	muscarinic acetylcholine receptor (mAChR)	GPCR expressed on bronchiolar SMCs	Normally, ACh secreted by parasympathetic neurons activates mAChRs on bronchiolar SMCs to maintain smooth muscle tone in the lung. Binding of ACh to mAChR is signaled via Gαq, which activates PLC to hydrolyze PIP2 to produce IP3 and DAG, both of which stimulate the release of Ca2+ from the sarcoplasmic reticulum. The Ca2+ activates MLCK which stimulates the actin-myosin system for SMC contraction.	The anticholinergic agent acts as a mAChR antagonist, blocking ACh activity at mAChR, thereby stimulating bronchodilation.
	ipratropium + albuterol	Combivent Respimat; DuoNeb							
	tiotropium	Spiriva Respimat, Spiriva HandiHaler	anticholinergic agent, long-acting [Note that you'll also see "long-acting muscarnic antagonist" or "LAMA". Those terms are also acceptable.]	asthma; COPD	reversible orthosteric antagonist	muscarinic acetylcholine receptor (mAChR)	GPCR expressed on bronchiolar SMCs	Normally, ACh secreted by parasympathetic neurons activates mAChRs on bronchiolar SMCs to maintain smooth muscle tone in the lung. Binding of ACh to mAChR is signaled via Gαq, which activates PLC to hydrolyze PIP2 to produce IP3 and DAG, both of which stimulate the release of Ca2+ from the sarcoplasmic reticulum. The Ca2+ activates MLCK which stimulates the actin-myosin system for SMC contraction.	The anticholinergic agent acts as a mAChR antagonist, blocking ACh activity at mAChR, thereby stimulating bronchodilation.
	albuterol	Ventolin HFA; Proventil HFA; Proair Respiclick; Proair DigiHaler	beta-2 agonist [Note that you'll also see "short-acting beta-2 agonist" or "SABA" sometimes. For 503, you should use "beta-2 agonist".]	asthma	agonist	beta-2 adrenergic receptor (AR) 	GPCR expressed on bronchiolar SMCs	Normally, Epi secreted by the adrenal medulla activates beta-2 AR expressed on bronchiolar SMCs. Binding is signaled via Gαs to activate AC and increase the concentration of cAMP. In turn, cAMP activates PKA, which activates myosin light-chain phosphatase (MLCP) to deactivate the actin-myosin system. This allows bronchiolar SMC relaxation and bronchodilation, increasing airflow in the bronchioles.	The beta-2 AR agonist mimics the activity of Epi to increase bronchiolar SMC relaxation and cause bronchodilation and to relieve the reduced airway caliber that is symptomatic of asthma.
	formoterol	Perforomist	beta-2 agonist, long-acting (LABA)	COPD	agonist	beta-2 adrenergic receptor (AR) 	GPCR expressed on bronchiolar SMCs	Normally, Epi secreted by the adrenal medulla activates beta-2 AR expressed on bronchiolar SMCs. Binding is signaled via Gαs to activate AC and increase the concentration of cAMP. In turn, cAMP activates PKA, which activates myosin light-chain phosphatase (MLCP) to deactivate the actin-myosin system. This allows bronchiolar SMC relaxation and bronchodilation, increasing airflow in the bronchioles.	The beta-2 AR agonist mimics the activity of Epi to increase bronchiolar SMC relaxation and cause bronchodilation and to relieve the reduced airway caliber that is symptomatic of asthma.
	salmeterol	Serevent Diskus	beta-2 agonist, long-acting (LABA)	asthma; COPD [also: bronchspasm in patients with reversible obstructive airway disease (e.g., asthma); exercise-induced bronchospam]	agonist	beta-2 adrenergic receptor (AR) 	GPCR expressed on bronchiolar SMCs	Normally, Epi secreted by the adrenal medulla activates beta-2 AR expressed on bronchiolar SMCs. Binding is signaled via Gαs to activate AC and increase the concentration of cAMP. In turn, cAMP activates PKA, which activates myosin light-chain phosphatase (MLCP) to deactivate the actin-myosin system. This allows bronchiolar SMC relaxation and bronchodilation, increasing airflow in the bronchioles.	The beta-2 AR agonist mimics the activity of Epi to reduce bronchiolar SMC relaxation and cause bronchodilation and  to relieve the reduced airway caliber that is symptomatic of asthma.
	budesonide	Pulmicort; Pulmicort Flexhaler	inhaled corticosteroid (ICS)	asthma	agonist	glucocorticoid receptor (GR)	steroid hormone nuclear receptor, widely expressed in a variety of cell types	Normally, cortisol binds to the glucocorticoid receptor (GR) and modulates gene expression to inhibit the master inflammation regulator NFkB, and prevents the activation of pro-inflammatory genes.	A GR agonist stimulates pleiotropic physiologic effects that attenuate inflammatory processes
	budesonide + formoterol	Symbicort							
	fluticasone	Flonase; Veramyst; Flovent Diskus; Flovent HFA	inhaled corticosteroid (ICS)	asthma	agonist	glucocorticoid receptor (GR)	steroid hormone nuclear receptor, widely expressed in a variety of cell types	Normally, cortisol binds to the glucocorticoid receptor (GR) and modulates gene expression to inhibit the master inflammation regulator NFkB, and prevents the activation of pro-inflammatory genes.	A GR agonist stimulates pleiotropic physiologic effects that attenuate inflammatory processes
	fluticasone + salmeterol	Advair Diskus; Advair HFA							
	mometasone	Asmanex HFA	inhaled corticosteroid (ICS)	asthma	agonist	glucocorticoid receptor (GR)	steroid hormone nuclear receptor, widely expressed in a variety of cell types	Normally, cortisol binds to the glucocorticoid receptor (GR) and modulates gene expression to inhibit the master inflammation regulator NFkB, and prevents the activation of pro-inflammatory genes.	A GR agonist stimulates pleiotropic physiologic effects that attenuate inflammatory processes
	Week 05								
09	insulin aspart	Novolog, Fiasp	insulin, rapid-acting	diabetes mellitus, types 1 and 2	agonist	insulin receptor (IR)	Receptor Tyrosine Kinase (RTK) expressed on the surfaces of liver, skeletal muscle and adipose cells	Normally, the insulin hormone secreted by pancreatic β cells binds to the IR, resulting in receptor autophosphorylation. The phosphoreceptor in turn phosphorylates a number of proteins and upregulates select gene expression. In muscle and adipose tissue, this stimulates the recruitment of hexose transport molecules (GLUT4) into the plasma membrane to increase glucose uptake from the blood. In liver cells, insulin stimulates glucose uptake and the activity of glycogen synthase, which converts glucose into glycogen for storage.	Exogenous insulins activate IR in the same way that the endogenous hormone (insulin) does, thereby stimulating the net uptake of glucose from the blood and lowering the blood glucose concentration.
	insulin glargine	Lantus, Toujeo (SoloStar)	insulin, long-acting	diabetes mellitus, types 1 and 2	agonist	insulin receptor (IR)	Receptor Tyrosine Kinase (RTK) expressed on the surfaces of liver, skeletal muscle and adipose cells	Normally, the insulin hormone secreted by pancreatic β cells binds to the IR, resulting in receptor autophosphorylation. The phosphoreceptor in turn phosphorylates a number of proteins and upregulates select gene expression. In muscle and adipose tissue, this stimulates the recruitment of hexose transport molecules (GLUT4) into the plasma membrane to increase glucose uptake from the blood. In liver cells, insulin stimulates glucose uptake and the activity of glycogen synthase, which converts glucose into glycogen for storage.	Exogenous insulins activate IR in the same way that the endogenous hormone (insulin) does, thereby stimulating the net uptake of glucose from the blood and lowering the blood glucose concentration.
	insulin lispro	Humalog	insulin, rapid-acting	diabetes mellitus, types 1 and 2	agonist	insulin receptor (IR)	Receptor Tyrosine Kinase (RTK) expressed on the surfaces of liver, skeletal muscle and adipose cells	Normally, the insulin hormone secreted by pancreatic β cells binds to the IR, resulting in receptor autophosphorylation. The phosphoreceptor in turn phosphorylates a number of proteins and upregulates select gene expression. In muscle and adipose tissue, this stimulates the recruitment of hexose transport molecules (GLUT4) into the plasma membrane to increase glucose uptake from the blood. In liver cells, insulin stimulates glucose uptake and the activity of glycogen synthase, which converts glucose into glycogen for storage.	Exogenous insulins activate IR in the same way that the endogenous hormone (insulin) does, thereby stimulating the net uptake of glucose from the blood and lowering the blood glucose concentration.
	liraglutide	Victoza, Saxenda	antidiabetic agent, glucagon-like peptide-1 receptor agonist	diabetes mellitus, type 2 (Victoza); chronic weight management (Saxenda)	agonist	glucagon-like-peptide-1 receptor (GLP-1R)	GPCR expressed on beta cells of the pancreas [Note that GLP-1R is a Class B GPCR, so has some different structural features relative to other GPCRs]	Normally, the GLP-1 incretin is secreted by entero-endocrine cells of the intestines in response to feeding. GLP-1 binds to GLP-1R on pancreatic beta cells, thereby stimulating Gαs to produce cAMP that activates PKA. PKA's action closes K+ channels to stimulate glucose-dependent insulin secretion.	GLP-1R agonists activate GLP-1R like the endogenous incretin and the resulting glucose-dependent insulin secretion lowers the blood glucose concentration.
	semaglutide	Ozempic, Wegovy, Rybelsus	antidiabetic agent, glucagon-like peptide-1 receptor agonist	diabetes mellitus, type 2 (Ozempic, Rybelsus); chronic weight management (Wegovy)	agonist	glucagon-like-peptide-1 receptor (GLP-1R)	GPCR expressed on beta cells of the pancreas [Note that GLP-1R is a Class B GPCR, so has some different structural features relative to other GPCRs]	Normally, the GLP-1 incretin is secreted by entero-endocrine cells of the intestines in response to feeding. GLP-1 binds to GLP-1R on pancreatic beta cells, thereby stimulating Gαs to produce cAMP that activates PKA. PKA's action closes K+ channels to stimulate glucose-dependent insulin secretion.	GLP-1R agonists activate GLP-1R like the endogenous incretin and the resulting glucose-dependent insulin secretion lowers the blood glucose concentration.
10	glimepiride	Amaryl	antidiabetic agent, sulfonylurea	diabetes mellitus, type 2 (T2DM)	reversible allosteric blocker 	ATP-sensitive K+ channel (K(ATP)) [specifically, the SUR subunit]	ion channel expressed on pancreatic beta cells	Normally, glucose from the blood is transported into pancreatic beta cells, leading to an increase in the concentration of ATP [following glycolysis, the TCA cycle, and oxidative phosphorylation]. When the ATP concentration becomes sufficiently high, ATP binds to the K(ATP) channel and stabilizes its closed conformation. The increased intracellular K+ concentration depolarizes the beta cell, which causes voltage-gated calcium channels to open, which then allows calcium cations to enter the cell and stimulate insulin secretion.	Sulfonylureas bind to the SUR regulatory subunit of the ATP-sensitive potassium channel and stabilize the closed channel conformation, even in the absence of glucose or ATP. The increased intracellular K+ concentration depolarizes the beta cell, which causes voltage-gated calcium channels to open, which then allows calcium cations to enter the cell and stimulate glucose-independent insulin secretion, which lowers the blood glucose concentration.
	glyburide	Diabeta, Glynase	antidiabetic agent, sulfonylurea	diabetes mellitus, type 2 (T2DM)	reversible allosteric blocker 	ATP-sensitive K+ channel (K(ATP)) [specifically, the SUR subunit]	ion channel expressed on pancreatic beta cells	Normally, glucose from the blood is transported into pancreatic beta cells, leading to an increase in the concentration of ATP [following glycolysis, the TCA cycle, and oxidative phosphorylation]. When the ATP concentration becomes sufficiently high, ATP binds to the K(ATP) channel and stabilizes its closed conformation. The increased intracellular K+ concentration depolarizes the beta cell, which causes voltage-gated calcium channels to open, which then allows calcium cations to enter the cell and stimulate insulin secretion.	Sulfonylureas bind to the SUR regulatory subunit of the ATP-sensitive potassium channel and stabilize the closed channel conformation, even in the absence of glucose or ATP. The increased intracellular K+ concentration depolarizes the beta cell, which causes voltage-gated calcium channels to open, which then allows calcium cations to enter the cell and stimulate glucose-independent insulin secretion, which lowers the blood glucose concentration.
	glipizide	Glucotrol, Glucotrol XL	antidiabetic agent, sulfonylurea	diabetes mellitus, type 2 (T2DM)	reversible allosteric blocker 	ATP-sensitive K+ channel (K(ATP)) [specifically, the SUR subunit]	ion channel expressed on pancreatic beta cells	Normally, glucose from the blood is transported into pancreatic beta cells, leading to an increase in the concentration of ATP [following glycolysis, the TCA cycle, and oxidative phosphorylation]. When the ATP concentration becomes sufficiently high, ATP binds to the K(ATP) channel and stabilizes its closed conformation. The increased intracellular K+ concentration depolarizes the beta cell, which causes voltage-gated calcium channels to open, which then allows calcium cations to enter the cell and stimulate insulin secretion.	Sulfonylureas bind to the SUR regulatory subunit of the ATP-sensitive potassium channel and stabilize the closed channel conformation, even in the absence of glucose or ATP. The increased intracellular K+ concentration depolarizes the beta cell, which causes voltage-gated calcium channels to open, which then allows calcium cations to enter the cell and stimulate glucose-independent insulin secretion, which lowers the blood glucose concentration.
	dapagliflozin	Farxiga	antidiabetic agent, SGLT2 inhibitor 	diabetes mellitus, type 2 (T2DM)	reversible inhibitor [Note: this is correct the way it is!]	sodium-glucose cotransporter 2 (SGLT2)	transporter expressed on epithelical cells of the proximal tubule in the nephron	Normally, water, ions, and other solutes are reabsorbed from the fluid passing through the nephrons in the kidney. SLGT2 is a symporter expressed on segment 1 of the proximal convoluted tubule. By using the Na+ gradient generated by Na/K ATPase, SGLT2 co-transports glucose and Na+ from the lumen into the epithelial cells where it can then be transported back into the blood. [Based on its location (proximal tubule) and activity, SGLT2 can reabsorb 90% of glucose in the lumen's fluid to concentrate glucose in the cell against the concentration gradient.]	SGLT2-I's inhibit the SLGT2 transporter in the proximal renal tubules, thereby reducing reabsorption of filtered glucose from the tubular lumen, increasing urinary excretion of glucose, and thereby reducing the blood glucose concentration to treat the hyperglycemia that is characteristic of diabetes.
	empagliflozin	Jardiance	antidiabetic agent, SGLT2 inhibitor 	diabetes mellitus, type 2 (T2DM)	reversible inhibitor [Note: this is correct the way it is!]	sodium-glucose cotransporter 2 (SGLT2)	transporter expressed on epithelical cells of the proximal tubule in the nephron	Normally, water, ions, and other solutes are reabsorbed from the fluid passing through the nephrons in the kidney. SLGT2 is a symporter expressed on segment 1 of the proximal convoluted tubule. By using the Na+ gradient generated by Na/K ATPase, SGLT2 co-transports glucose and Na+ from the lumen into the epithelial cells where it can then be transported back into the blood. [Based on its location (proximal tubule) and activity, SGLT2 can reabsorb 90% of glucose in the lumen's fluid to concentrate glucose in the cell against the concentration gradient.]	SGLT2-I's inhibit the SLGT2 transporter in the proximal renal tubules, thereby reducing reabsorption of filtered glucose from the tubular lumen, increasing urinary excretion of glucose, and thereby reducing the blood glucose concentration to treat the hyperglycemia that is characteristic of diabetes.
